北京联通,#genre#
深圳卫视,rtp://239.2.1.134:8020
江苏卫视,rtp://239.2.1.135:8028
东方卫视,rtp://239.2.1.136:8032
浙江卫视,rtp://239.2.1.137:8036
湖北卫视,rtp://239.2.1.138:8044
北京卫视,rtp://239.2.1.139:8000
北京卫视,rtp://239.2.1.140:8000
天津卫视,rtp://239.2.1.141:1234
广东卫视,rtp://239.2.1.142:8048
厦门卫视,rtp://239.2.1.143:4120
兵团卫视,rtp://239.2.1.144:4120
CETV1,rtp://239.2.1.146:4120
嘉佳卡通,rtp://239.2.1.147:9268
河北卫视,rtp://239.2.1.148:8072
贵州卫视,rtp://239.2.1.149:8076
CCTV17,rtp://239.2.1.150:8064
CCTV17高清,rtp://239.2.1.151:8144
CCTV11高清,rtp://239.2.1.152:8120
CCTV15高清,rtp://239.2.1.153:8136
密云,rtp://239.2.1.154:8000
三沙卫视,rtp://239.2.1.155:4120
东南卫视高清,rtp://239.2.1.156:8148
北京卫视,rtp://239.2.1.157:8176
北京影视高清,rtp://239.2.1.158:8000
北京新闻高清,rtp://239.2.1.159:8000
卫视,rtp://239.2.1.160:8000
卫视,rtp://239.2.1.162:8000
卫视,rtp://239.2.1.163:8002
卫视,rtp://239.2.1.164:8000
卫视,rtp://239.2.1.165:8000
卫视,rtp://239.2.1.166:8000
卫视,rtp://239.2.1.167:8000
卫视,rtp://239.2.1.168:8000
卫视,rtp://239.2.1.169:8000
卫视,rtp://239.2.1.170:8000
卫视,rtp://239.2.1.171:8000
卫视,rtp://239.2.1.172:8000
卫视,rtp://239.2.1.173:8000
卫视,rtp://239.2.1.174:8000
卫视,rtp://239.2.1.175:8000
卫视,rtp://239.2.1.176:8000
卫视,rtp://239.2.1.177:8000
卫视,rtp://239.2.1.178:8000
卫视,rtp://239.2.1.179:8000
卫视,rtp://239.2.1.180:8000
卫视,rtp://239.2.1.181:8000
卫视,rtp://239.2.1.183:8000
卫视,rtp://239.2.1.184:8000
卫视,rtp://239.2.1.185:8000
卫视,rtp://239.2.1.186:8000
卫视,rtp://239.2.1.187:8000
卫视,rtp://239.2.1.188:8000
卫视,rtp://239.2.1.189:8000
卫视,rtp://239.2.1.190:8000
卫视,rtp://239.2.1.191:8000
卫视,rtp://239.2.1.193:8012
华数,rtp://239.2.1.194:9020
华数,rtp://239.2.1.195:9024
华数,rtp://239.2.1.196:9012
华数,rtp://239.2.1.199:9000
魅力足球,rtp://239.2.1.201:8000
动漫秀场,rtp://239.2.1.202:8000
都市剧场,rtp://239.2.1.203:8000
法治天地,rtp://239.2.1.204:8000
游戏风云,rtp://239.2.1.205:8000
生活时尚,rtp://239.2.1.206:8000
乐游,rtp://239.2.1.207:8000
金色学堂,rtp://239.2.1.208:8000
山东卫视高清,rtp://239.2.1.209:8052
辽宁卫视高清,rtp://239.2.1.210:8056
安徽卫视高清,rtp://239.2.1.211:8064
纪实人文,rtp://239.2.1.212:8060
CCTV4欧州高清,rtp://239.2.1.213:4220
CCTV4美州高清,rtp://239.2.1.214:4220
CGTN,rtp://239.2.1.215:4220
CGTN？？,rtp://239.2.1.216:4220
CGTN？,rtp://239.2.1.217:4220
北京影视,rtp://239.2.1.218:4220
CGTN阿语,rtp://239.2.1.219:4220
CGTN西语,rtp://239.2.1.220:4220
北京卫视,rtp://239.2.1.221:8000
央广购物,rtp://239.2.1.222:8000
央广购物,rtp://239.2.1.223:8000
北京卫视,rtp://239.2.1.225:8000
北京文艺,rtp://239.2.1.226:8000
北京纪实科教,rtp://239.2.1.227:8000
北京影视,rtp://239.2.1.228:8000
