央视, #genre#
CCTV 怀旧剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000401?AuthInfo=xxx&userid=
CCTV 女性时尚,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000408?AuthInfo=xxx&userid=
CCTV 世界地理,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000407?AuthInfo=xxx&userid=
CCTV 央视台球,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000404?AuthInfo=xxx&userid=
CCTV 央视文化精品,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000406?AuthInfo=xxx&userid=
CETV 早期教育,rtsp://123.147.113.180:554/04000001/01000000004000000000000000000400?AuthInfo=xxx&userid=
CHC 动作电影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000392?AuthInfo=xxx&userid=
CHC 高清电影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000394?AuthInfo=xxx&userid=
CHC 家庭影院,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000393?AuthInfo=xxx&userid=
CHC 影迷电影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000394?AuthInfo=xxx&userid=
爱上4K HEVC,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000391?AuthInfo=xxx&userid=
北京卡酷少儿,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000159?AuthInfo=xxx&userid=
北京卫视 4K HEVC HDR AAC,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000425?AuthInfo=xxx&userid=
北京卫视 4K HEVC HDR AC3,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000426?AuthInfo=xxx&userid=
北京优优宝贝,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000424?AuthInfo=xxx&userid=
重庆科教,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000373?AuthInfo=xxx&userid=
重庆汽摩,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000371?AuthInfo=xxx&userid=
重庆少儿,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000374?AuthInfo=xxx&userid=
重庆社会与法,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000375?AuthInfo=xxx&userid=
重庆时尚购物,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000366?AuthInfo=xxx&userid=
重庆时尚生活,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000369?AuthInfo=xxx&userid=
重庆文体娱乐,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000370?AuthInfo=xxx&userid=
重庆新农村,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000376?AuthInfo=xxx&userid=
重庆新闻,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000367?AuthInfo=xxx&userid=
重庆移动,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000384?AuthInfo=xxx&userid=
重庆影视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000372?AuthInfo=xxx&userid=
广东嘉佳卡通,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000386?AuthInfo=xxx&userid=
杭州求索纪录,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000397?AuthInfo=xxx&userid=
河南卫视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000423?AuthInfo=xxx&userid=
湖北精彩影视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000396?AuthInfo=xxx&userid=
湖南茶频道,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000395?AuthInfo=xxx&userid=
湖南金鹰卡通,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000162?AuthInfo=xxx&userid=
湖南快乐垂钓,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000382?AuthInfo=xxx&userid=
家有购物,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000383?AuthInfo=xxx&userid=
山东教育卫视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000428?AuthInfo=xxx&userid=
山西卫视,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000179?AuthInfo=xxx&userid=
上海动漫秀场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000413?AuthInfo=xxx&userid=
上海都市剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000412?AuthInfo=xxx&userid=
上海法制天地,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000417?AuthInfo=xxx&userid=
上海欢笑剧场 4K HEVC,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000411?AuthInfo=xxx&userid=
上海纪实人文,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000275?AuthInfo=xxx&userid=
上海金色学堂,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000416?AuthInfo=xxx&userid=
上海乐游,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000419?AuthInfo=xxx&userid=
上海魅力足球,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000415?AuthInfo=xxx&userid=
上海生活时尚,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000418?AuthInfo=xxx&userid=
上海游戏风云,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000414?AuthInfo=xxx&userid=
中国交通,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000420?AuthInfo=xxx&userid=
IPTV5+,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000149?AuthInfo=xxx&userid=
IPTV6+,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000148?AuthInfo=xxx&userid=
IPTV8+,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000147?AuthInfo=xxx&userid=
IPTV 春晚频道,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000150?AuthInfo=xxx&userid=
IPTV 谍战剧场,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000154?AuthInfo=xxx&userid=
IPTV 法治,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000152?AuthInfo=xxx&userid=
IPTV 经典电影,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000156?AuthInfo=xxx&userid=
IPTV 魅力时尚,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000157?AuthInfo=xxx&userid=
IPTV 热播剧,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000155?AuthInfo=xxx&userid=
IPTV 少儿动画,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000158?AuthInfo=xxx&userid=
IPTV 相声小品,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000151?AuthInfo=xxx&userid=
IPTV 野外,rtsp://123.147.113.84:554/04000001/01000000004000000000000000000153?AuthInfo=xxx&userid=
