央视,#genre#
广西广播电视台影视频道,rtsp://103.251.96.131/PLTV/88888888/224/3221225685/10000100000000060000000000091609_0.smil
广西广播电视台国际频道,rtsp://103.251.96.131/PLTV/88888888/224/3221225737/10000100000000060000000000091663_0.smil
广西广播电视台乐思购频道,rtsp://103.251.96.131/PLTV/88888888/224/3221225687/10000100000000060000000000091611_0.smil
广西移动电视,rtsp://103.251.96.131/PLTV/88888888/224/3221225688/10000100000000060000000000091612_0.smil
广西广播电视台科教频道,rtsp://103.251.96.131/PLTV/88888888/224/3221225689/10000100000000060000000000091613_0.smil
CCTV-1综合,rtsp://103.251.96.131/PLTV/88888888/224/3221225828/10000100000000060000000001030078_0.smil
CCTV-2财经,rtsp://103.251.96.131/PLTV/88888888/224/3221225639/10000100000000060000000000091563_0.smil
IPTV3＋,rtsp://103.251.96.131/PLTV/88888888/224/3221225722/10000100000000060000000000091648_0.smil
CCTV-4中文国际,rtsp://103.251.96.131/PLTV/88888888/224/3221225740/10000100000000060000000000091666_0.smil
IPTV5＋,rtsp://103.251.96.131/PLTV/88888888/224/3221225719/10000100000000060000000000091644_0.smil
CCTV-7国防军事,rtsp://103.251.96.131/PLTV/88888888/224/3221225742/10000100000000060000000000091668_0.smil
CCTV-9纪录,rtsp://103.251.96.131/PLTV/88888888/224/3221225746/10000100000000060000000000091672_0.smil
CCTV-10科教,rtsp://103.251.96.131/PLTV/88888888/224/3221225743/10000100000000060000000000091669_0.smil
CCTV-11戏曲,rtsp://103.251.96.131/PLTV/88888888/224/3221225699/10000100000000060000000000091624_0.smil
CCTV-12社会与法,rtsp://103.251.96.131/PLTV/88888888/224/3221225749/10000100000000060000000000091675_0.smil
CCTV-14少儿,rtsp://103.251.96.131/PLTV/88888888/224/3221225748/10000100000000060000000000091674_0.smil
CCTV-15音乐,rtsp://103.251.96.131/PLTV/88888888/224/3221225744/10000100000000060000000000091670_0.smil
CCTV-17农业农村,rtsp://103.251.96.131/PLTV/88888888/224/3221225810/10000100000000060000000000994990_0.smil
东方卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225676/10000100000000060000000000091600_0.smil
北京卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225673/10000100000000060000000000091597_0.smil
浙江卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225671/10000100000000060000000000091595_0.smil
南方卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225690/10000100000000060000000000091614_0.smil
黑龙江卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225678/10000100000000060000000000091602_0.smil
江苏卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225670/10000100000000060000000000091594_0.smil
广东卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225692/10000100000000060000000000091617_0.smil
山东卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225705/10000100000000060000000000091630_0.smil
湖南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225644/10000100000000060000000000091568_0.smil
湖北卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225706/10000100000000060000000000091631_0.smil
天津卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225694/10000100000000060000000000091619_0.smil
河北卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225679/10000100000000060000000000091603_0.smil
中国教育台,rtsp://103.251.96.131/PLTV/88888888/224/3221225752/10000100000000060000000000091678_0.smil
贵州卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225682/10000100000000060000000000091606_0.smil
深圳卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225636/10000100000000060000000000091560_0.smil
东南卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225683/10000100000000060000000000091607_0.smil
金鹰卡通,rtsp://103.251.96.131/PLTV/88888888/224/3221225653/10000100000000060000000000091577_0.smil
卡酷动画,rtsp://103.251.96.131/PLTV/88888888/224/3221225645/10000100000000060000000000091569_0.smil
嘉佳卡通,rtsp://103.251.96.131/PLTV/88888888/224/3221225665/10000100000000060000000000091589_0.smil
IPTV野外,rtsp://103.251.96.131/PLTV/88888888/224/3221225629/10000100000000060000000000087800_0.smil
IPTV法治,rtsp://103.251.96.131/PLTV/88888888/224/3221225708/10000100000000060000000000091633_0.smil
IPTV相声小品,rtsp://103.251.96.131/PLTV/88888888/224/3221225707/10000100000000060000000000091632_0.smil
IPTV谍战剧场,rtsp://103.251.96.131/PLTV/88888888/224/3221225634/10000100000000060000000000091558_0.smil
动漫秀场,rtsp://103.251.96.131/PLTV/88888888/224/3221225727/10000100000000060000000000091653_0.smil
七彩戏剧,rtsp://103.251.96.131/PLTV/88888888/224/3221225731/10000100000000060000000000091657_0.smil
欢笑剧场,rtsp://103.251.96.131/PLTV/88888888/224/3221225736/10000100000000060000000000091662_0.smil
游戏风云,rtsp://103.251.96.131/PLTV/88888888/224/3221225725/10000100000000060000000000091651_0.smil
极速汽车,rtsp://103.251.96.131/PLTV/88888888/224/3221225726/10000100000000060000000000091652_0.smil
生活时尚,rtsp://103.251.96.131/PLTV/88888888/224/3221225739/10000100000000060000000000091665_0.smil
东方财经,rtsp://103.251.96.131/PLTV/88888888/224/3221225729/10000100000000060000000000091655_0.smil
中国气象,rtsp://103.251.96.131/PLTV/88888888/224/3221225667/10000100000000060000000000091591_0.smil
全纪实,rtsp://103.251.96.131/PLTV/88888888/224/3221225733/10000100000000060000000000091659_0.smil
法治天地,rtsp://103.251.96.131/PLTV/88888888/224/3221225735/10000100000000060000000000091661_0.smil
金色频道,rtsp://103.251.96.131/PLTV/88888888/224/3221225732/10000100000000060000000000091658_0.smil
都市剧场,rtsp://103.251.96.131/PLTV/88888888/224/3221225738/10000100000000060000000000091664_0.smil
少儿动画,rtsp://103.251.96.131/PLTV/88888888/224/3221225720/10000100000000060000000000091645_0.smil
魅力时尚,rtsp://103.251.96.131/PLTV/88888888/224/3221225633/10000100000000060000000000091557_0.smil
经典电影,rtsp://103.251.96.131/PLTV/88888888/224/3221225724/10000100000000060000000000091650_0.smil
热播剧场,rtsp://103.251.96.131/PLTV/88888888/224/3221225723/10000100000000060000000000091649_0.smil
收视指南,rtsp://103.251.96.131/PLTV/88888888/224/3221225718/10000100000000060000000000091643_0.smil
CCTV中学生,rtsp://103.251.96.131/PLTV/88888888/224/3221225654/10000100000000060000000000091578_0.smil
山东教育卫视,rtsp://103.251.96.131/PLTV/88888888/224/3221225762/10000100000000060000000000294600_0.smil
IPTV5＋高清,rtsp://103.251.96.131/PLTV/88888888/224/3221225754/10000100000000060000000000185501_0.smil
熊猫频道高清,rtsp://103.251.96.131/PLTV/88888888/224/3221225712/10000100000000060000000000091637_0.smil
金鹰纪实-高清,rtsp://103.251.96.131/PLTV/88888888/224/3221225760/10000100000000060000000000281377_0.smil
广西IPTV3,rtsp://103.251.96.131/PLTV/88888888/224/3221225709/10000100000000060000000000091634_0.smil
广西IPTV5,rtsp://103.251.96.131/PLTV/88888888/224/3221225649/10000100000000060000000000091573_0.smil
广西IPTV6,rtsp://103.251.96.131/PLTV/88888888/224/3221225662/10000100000000060000000000091586_0.smil
