央视,#genre#
湖北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227367/index.m3u8
湖南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227369/index.m3u8
吉林卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227935/index.m3u8
江苏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227421/index.m3u8
江西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227355/index.m3u8
康巴卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227629/index.m3u8
辽宁卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227345/index.m3u8
内蒙古卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227181/index.m3u8
宁夏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227119/index.m3u8
农林卫视,
青海卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227123/index.m3u8
三沙卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227943/index.m3u8
厦门卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227938/index.m3u8
山东卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227365/index.m3u8
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8
陕西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221228078/index.m3u8
深圳卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227419/index.m3u8
四川卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227417/index.m3u8
天津卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227343/index.m3u8
西藏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227131/index.m3u8
新疆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227117/index.m3u8
延边卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227961/index.m3u8
云南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227962/index.m3u8
浙江卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227351/index.m3u8

其它,#genre#
CETV1,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227339/index.m3u8
CETV2,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227940/index.m3u8
